date,day,time,teacher,location,payment_method,class_type,status,web,ref_number
2022-04-08,Friday,4:00 PM,Abby Kraai,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,669262
2022-04-01,Friday,4:00 PM,Abby Kraai,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,669262
2022-03-25,Friday,12:00 PM,Kris Olson,NE Killingsworth,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Late Cancel,Yes,669262
2022-03-19,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,667385
2022-03-12,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,667385
2022-03-09,Wednesday,4:00 PM,Abby Kraai,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa/Restorative,Signed in,Yes,667385
2022-03-05,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,667385
2022-02-26,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Individual Peoples Membership -Auto-Pay,STREAMING : Vinyasa Flow Hybrid,Signed in,Yes,667385
2022-02-23,Wednesday,12:00 PM,Donica Burdette,NE Killingsworth,Individual Peoples Membership -Auto-Pay,In Studio: All Level Hatha Flow,Signed in,Yes,667385
2022-02-20,Sunday,10:15 AM,Marianne Tanner,NE Killingsworth,Individual Peoples Membership -Auto-Pay,In Studio: Hatha Flow,Signed in,Yes,667385
2022-02-12,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,663793
2022-02-05,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,663793
2022-02-02,Wednesday,4:00 PM,Abby Kraai,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa/Restorative,Signed in,Yes,663793
2022-01-29,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,663793
2022-01-26,Wednesday,12:00 PM,Donica Burdette,NE Killingsworth,Individual Peoples Membership -Auto-Pay,In Studio: All Level Hatha Flow,Signed in,Yes,663793
2022-01-22,Saturday,12:30 PM,Ian LeMasters,NE Killingsworth,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,663793
2021-12-15,Wednesday,12:00 PM,Donica Burdette,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,652104
2021-12-04,Saturday,12:30 PM,Kindra Flavin,NE Killingsworth,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,652104
2021-11-25,Thursday,10:45 AM,Abby Kraai,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,652104
2021-11-20,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,652104
2021-11-14,Sunday,12:30 PM,April Fox,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa + Yin,Late Cancel,Yes,640387
2021-11-10,Wednesday,12:00 PM,Donica Burdette,NE Killingsworth,Individual Peoples Membership -Auto-Pay,In Studio: All Level Hatha Flow,Signed in,Yes,640387
2021-11-06,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Individual Peoples Membership -Auto-Pay,STREAMING : Vinyasa Flow Hybrid,Signed in,Yes,640387
2021-11-03,Wednesday,4:00 PM,Abby Kraai,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa/Restorative,Signed in,Yes,640387
2021-10-30,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,640387
2021-10-25,Monday,4:00 PM,Donica Burdette,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,640387
2021-10-23,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,640387
2021-10-20,Wednesday,4:00 PM,Abby Kraai,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa/Restorative,Signed in,No,640387
2021-10-16,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa Flow,Signed in,Yes,638926
2021-10-13,Wednesday,4:00 PM,Abby Kraai,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa/Restorative,Signed in,Yes,638926
2021-10-10,Sunday,12:30 PM,Natasha Wightman,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa + Yin,Signed in,Yes,638926
2021-10-06,Wednesday,12:00 PM,Katrina Norwood,NE Killingsworth,Individual Peoples Membership -Auto-Pay,In Studio: All Level Hatha Flow,Signed in,Yes,638926
2021-10-03,Sunday,12:30 PM,Kindra Flavin,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa + Yin,Signed in,Yes,638926
2021-09-29,Wednesday,4:00 PM,Abby Kraai,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa/Restorative,Signed in,Yes,638926
2021-09-26,Sunday,12:30 PM,Natasha Wightman,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa + Yin,Signed in,Yes,638926
2021-09-22,Wednesday,4:00 PM,Abby Kraai,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa/Restorative,Signed in,Yes,638926
2021-09-19,Sunday,12:30 PM,Natasha Wightman,SE Hawthorne,Individual Peoples Membership -Auto-Pay,In Studio: Vinyasa + Yin,Signed in,Yes,638926
2021-09-18,Saturday,12:30 PM,Donica Burdette,SE Hawthorne,$30.00 for 30 days Unlimited: New Students Only,In Studio: Vinyasa Flow,Signed in,Yes,627580
2021-09-15,Wednesday,4:00 PM,Abby Kraai,SE Hawthorne,$30.00 for 30 days Unlimited: New Students Only,In Studio: Vinyasa/Restorative,Signed in,Yes,627580
2021-09-08,Wednesday,4:00 PM,Abby Kraai,SE Hawthorne,$30.00 for 30 days Unlimited: New Students Only,In Studio: Vinyasa/Restorative,Signed in,Yes,627580
2021-09-05,Sunday,9:00 AM,Kris Olson,SE Hawthorne,$30.00 for 30 days Unlimited: New Students Only,In Studio: Vinyasa Flow,Signed in,Yes,627580
